sec,x,y
0,697,377.5
0.166,688.63,375.11
0.3,693.41,373.91
0.889,690.35,358.57
0.989,685.74,344.25
1.122,676.53,350.9
1.235,680.4,351.51
1.269,687.85,352.55
1.323,688.81,360.61
1.402,689.16,364
1.469,691.6,369.84
1.557,693.41,383.12
1.657,690.35,392.84
1.736,692,393.95
1.769,688.99,395.24
1.803,688.29,393.71
1.836,689.04,393
1.87,689.79,393.32
1.903,688.72,393.18
1.974,692.12,411.82
2.041,693.31,420.71
2.107,691.53,424.86
2.141,693.31,422.49
2.174,692.72,414.19
2.274,685.01,403.51
2.308,687.97,391.06
2.341,685.01,384.54
2.441,680.26,385.73
2.475,680.26,391.65
2.508,679.08,398.18
2.542,679.08,407.07
2.575,679.67,398.18
2.642,682.64,391.06
2.675,680.86,380.39
2.708,678.49,380.39
2.742,680.86,375.05
2.775,676.71,366.75
2.909,672.56,361.41
3.042,680.26,362.01
3.243,679.67,369.12
3.31,686.79,375.05
3.376,692.72,379.8
3.677,689.16,385.13
3.744,681.45,398.18
3.777,685.6,402.33
3.977,691.53,399.36
4.111,693.9,394.03
4.144,687.97,383.95
4.178,685.6,366.16
4.245,686.19,357.26
4.311,687.38,348.96
4.445,692.12,356.08
4.512,703.98,353.11
4.578,706.95,336.51
4.785,695.68,343.63
4.919,690.94,349.55
4.952,694.5,349.55
5.119,686.79,353.11
5.219,677.89,364.38
5.386,669.59,368.53
5.486,675.52,374.46
5.587,685.6,379.8
5.787,687.97,366.16
5.887,691.53,356.67
5.921,686.79,357.26
5.987,683.23,340.66
6.087,688.57,337.7
6.154,678.49,340.07
6.188,666.03,338.88
6.288,665.44,337.1
6.355,655.36,337.7
6.522,651.8,343.63
6.588,670.18,347.78
6.689,682.64,347.18
6.755,692.12,346
6.789,700.43,348.96
6.889,700.43,353.11
6.956,704.58,353.71
6.989,695.68,356.08
7.089,686.79,350.74
7.156,679.08,348.96
7.39,677.89,336.51
7.49,680.86,334.73
7.657,683.82,343.03
7.757,692.72,358.45
7.791,691.53,345.4
7.891,689.75,340.07
7.958,683.82,334.73
8.024,683.82,341.25
8.058,683.23,349.55
8.124,689.16,351.93
8.158,694.5,348.37
8.191,687.38,348.37
8.291,696.87,345.4
8.425,699.24,348.96
8.659,696.27,359.04
8.692,698.05,356.67
8.759,701.61,346
8.792,695.68,319.91
8.893,696.27,315.76
9.026,699.83,325.24
9.059,693.9,331.17
9.126,695.09,342.44
9.156,688.71,350.84
9.19,693.74,364.61
9.256,689.71,368.98
9.357,692.4,366.29
9.39,695.42,358.23
9.49,694.75,348.15
9.59,697.18,352.39
9.657,694.15,360.27
9.69,696.57,365.73
9.724,700.81,375.43
9.757,699,382.7
9.791,700.21,389.37
9.857,706.27,398.46
9.924,708.09,399.67
9.991,711.73,397.25
10.058,714.15,381.49
10.091,716.57,371.79
10.125,718.39,363.91
10.158,722.03,357.24
10.191,723.24,351.18
10.258,727.49,344.51
10.292,717.18,344.51
10.358,707.48,344.51
10.392,708.69,348.76
10.459,689.3,356.03
10.492,677.78,362.09
10.525,668.69,362.7
10.559,658.38,369.37
10.592,654.14,370.58
10.659,642.62,363.3
10.692,646.87,360.88
10.726,643.23,354.21
10.759,646.87,350.58
10.792,648.08,347.54
10.859,662.02,346.94
10.893,669.29,351.79
10.926,672.93,360.27
10.959,680.2,373.61
10.993,682.02,383.91
11.06,689.9,369.97
11.093,686.27,367.55
11.126,689.9,363.3
11.16,682.63,359.67
11.26,680.2,363.91
11.327,683.24,368.15
11.527,686.27,361.49
11.727,689.3,371.18
11.761,691.12,377.85
11.861,695.36,364.52
12.095,687.48,369.37
12.195,684.45,381.49
12.295,692.93,377.25
12.429,692.93,373
12.596,699.6,366.94
12.729,701.42,371.18
12.829,701.42,367.55
13.097,707.48,362.09
13.163,702.63,360.88
13.297,708.69,360.27
13.364,706.88,366.94
13.43,711.12,371.18
13.464,706.27,374.82
13.597,705.06,378.46
13.698,702.03,383.91
13.865,702.03,393.61
13.965,699,385.13
14.232,700.81,390.58
14.299,707.48,382.1
14.332,699.6,379.06
14.432,702.63,374.22
14.499,701.42,363.3
14.616,701.98,365.37
14.766,693.54,365.73
14.866,689.3,364.52
15.1,701.42,361.49
15.234,694.15,361.49
15.3,699.6,368.15
15.367,705.66,368.15
15.568,710.51,372.4
15.634,713.54,382.7
15.668,711.73,391.79
15.701,712.33,397.86
15.735,709.91,404.52
15.968,708.09,397.25
16.035,709.91,386.94
16.102,706.88,371.79
16.169,711.12,354.21
16.202,703.24,357.24
16.244,702.29,353.4
16.336,700.21,370.58
16.469,701.42,385.73
16.569,705.66,396.04
16.736,706.27,388.76
16.87,708.09,374.22
16.937,703.24,365.73
17.104,699,359.06
17.304,693.54,360.88
17.337,699,362.09
